user_id,user,text,created_at,retweet_count,favorite_count,mentions,cleaned_text
uid_0,jokowi,Anggaran Makan Bergizi Gratis (MBG) diperbesar menjadi 71T. @CNNIndonesia @moeldoko @prabowo #0,2024-11-03,649,867,"['CNNIndonesia', 'moeldoko', 'prabowo']",Anggaran Makan Bergizi Gratis (MBG) diperbesar menjadi 71T.
uid_1,prabowo,Tender pengadaan susu ikan untuk MBG harus diawasi ketat. @jokowi #1,2024-11-11,789,267,['jokowi'],Tender pengadaan susu ikan untuk MBG harus diawasi ketat.
uid_2,gibran_tweet,UMKM lokal dilibatkan dalam penyediaan makan siang gratis. @moeldoko @kemenkesRI @VIVAcoid #2,2024-11-18,722,875,"['moeldoko', 'kemenkesRI', 'VIVAcoid']",UMKM lokal dilibatkan dalam penyediaan makan siang gratis.
uid_3,kemensetneg,Risiko korupsi di pengadaan vendor pangan MBG sangat tinggi. @jokowi @gibran_tweet #3,2024-11-29,707,1851,"['jokowi', 'gibran_tweet']",Risiko korupsi di pengadaan vendor pangan MBG sangat tinggi.
uid_4,kemenkeuRI,Evaluasi tahap pertama program MBG menunjukkan kekurangan logistik. @BBCIndonesia #4,2024-11-02,854,756,['BBCIndonesia'],Evaluasi tahap pertama program MBG menunjukkan kekurangan logistik.
uid_5,kemenkesRI,Susu ikan vs susu sapi: mana yang lebih efisien untuk dana MBG? @BBCIndonesia @kemenkeuRI @antaranews #5,2024-11-05,42,631,"['BBCIndonesia', 'kemenkeuRI', 'antaranews']",Susu ikan vs susu sapi: mana yang lebih efisien untuk dana MBG?
uid_6,Kemendikbud_RI,Transparansi anggaran MBG adalah harga mati bagi publik. @prabowo @tempodotco #6,2024-11-07,698,511,"['prabowo', 'tempodotco']",Transparansi anggaran MBG adalah harga mati bagi publik.
uid_7,airlangga_hrt,Siapa vendor susu ikan yang ditunjuk pemerintah? 🤔 @kemensetneg @tempodotco @BBCIndonesia #7,2024-11-29,895,832,"['kemensetneg', 'tempodotco', 'BBCIndonesia']",Siapa vendor susu ikan yang ditunjuk pemerintah? 🤔
uid_8,moeldoko,Makan siang gratis mulai didistribusikan ke daerah 3T. @kemenkeuRI @airlangga_hrt @kemenkesRI #8,2024-11-26,830,362,"['kemenkeuRI', 'airlangga_hrt', 'kemenkesRI']",Makan siang gratis mulai didistribusikan ke daerah 3T.
uid_9,sandiuno,Bagaimana nasib kantin sekolah setelah ada program MBG? @jokowi @kemenkesRI #9,2024-11-24,946,680,"['jokowi', 'kemenkesRI']",Bagaimana nasib kantin sekolah setelah ada program MBG?
uid_10,detikcom,Pengadaan motor listrik untuk kurir distribusi MBG menuai kritik publik. @warga_indonesia_87 @warga_indonesia_31 #10,2024-11-28,752,1660,"['warga_indonesia_87', 'warga_indonesia_31']",Pengadaan motor listrik untuk kurir distribusi MBG menuai kritik publik.
uid_11,tempodotco,Kontrak vendor penyedia kaos kaki gratis dalam paket program MBG. @warga_indonesia_36 #11,2024-11-06,806,1436,['warga_indonesia_36'],Kontrak vendor penyedia kaos kaki gratis dalam paket program MBG.
uid_12,kompascom,Rencana pengadaan keyboard dan perangkat IT monitoring gizi di daerah. @warga_indonesia_91 #12,2024-11-28,39,1758,['warga_indonesia_91'],Rencana pengadaan keyboard dan perangkat IT monitoring gizi di daerah.
uid_13,antaranews,Pengadaan alat timbangan digital di sekolah sasaran makan siang gratis. @warga_indonesia_84 @warga_indonesia_93 #13,2024-11-27,940,942,"['warga_indonesia_84', 'warga_indonesia_93']",Pengadaan alat timbangan digital di sekolah sasaran makan siang gratis.
uid_14,VIVAcoid,Standardisasi dapur umum MBG memerlukan alat masak ramah lingkungan. @warga_indonesia_117 @warga_indonesia_190 #14,2024-11-26,892,466,"['warga_indonesia_117', 'warga_indonesia_190']",Standardisasi dapur umum MBG memerlukan alat masak ramah lingkungan.
uid_15,CNNIndonesia,Anggaran Makan Bergizi Gratis (MBG) diperbesar menjadi 71T. @Kemendikbud_RI #15,2024-11-22,197,816,['Kemendikbud_RI'],Anggaran Makan Bergizi Gratis (MBG) diperbesar menjadi 71T.
uid_16,kumparan,Tender pengadaan susu ikan untuk MBG harus diawasi ketat. @warga_indonesia_133 @warga_indonesia_112 #16,2024-11-03,990,1583,"['warga_indonesia_133', 'warga_indonesia_112']",Tender pengadaan susu ikan untuk MBG harus diawasi ketat.
uid_17,BBCIndonesia,UMKM lokal dilibatkan dalam penyediaan makan siang gratis. @warga_indonesia_58 @warga_indonesia_153 #17,2024-11-17,409,1391,"['warga_indonesia_58', 'warga_indonesia_153']",UMKM lokal dilibatkan dalam penyediaan makan siang gratis.
uid_18,Metro_TV,Risiko korupsi di pengadaan vendor pangan MBG sangat tinggi. @airlangga_hrt @LBH_Jakarta #18,2024-11-29,993,534,"['airlangga_hrt', 'LBH_Jakarta']",Risiko korupsi di pengadaan vendor pangan MBG sangat tinggi.
uid_19,tvOneNews,Evaluasi tahap pertama program MBG menunjukkan kekurangan logistik. @warga_indonesia_184 #19,2024-11-09,39,222,['warga_indonesia_184'],Evaluasi tahap pertama program MBG menunjukkan kekurangan logistik.
uid_20,Lembaga_Keadilan,Susu ikan vs susu sapi: mana yang lebih efisien untuk dana MBG? @antaranews @tempodotco @detikcom @tvOneNews #20,2024-11-20,523,236,"['antaranews', 'tempodotco', 'detikcom', 'tvOneNews']",Susu ikan vs susu sapi: mana yang lebih efisien untuk dana MBG?
uid_21,Aliansi_Rakyat,Transparansi anggaran MBG adalah harga mati bagi publik. @Metro_TV @Kemendikbud_RI @moeldoko #21,2024-11-02,725,893,"['Metro_TV', 'Kemendikbud_RI', 'moeldoko']",Transparansi anggaran MBG adalah harga mati bagi publik.
uid_22,pengamat_sosial,Siapa vendor susu ikan yang ditunjuk pemerintah? 🤔 @kumparan @BBCIndonesia #22,2024-11-22,736,1925,"['kumparan', 'BBCIndonesia']",Siapa vendor susu ikan yang ditunjuk pemerintah? 🤔
uid_23,tokoh_oposisi,Makan siang gratis mulai didistribusikan ke daerah 3T. @Kemendikbud_RI @tempodotco @antaranews @gibran_tweet #23,2024-11-22,942,676,"['Kemendikbud_RI', 'tempodotco', 'antaranews', 'gibran_tweet']",Makan siang gratis mulai didistribusikan ke daerah 3T.
uid_24,aktivis_lingkungan,Bagaimana nasib kantin sekolah setelah ada program MBG? @detikcom @kemensetneg @sandiuno @kumparan #24,2024-11-10,682,836,"['detikcom', 'kemensetneg', 'sandiuno', 'kumparan']",Bagaimana nasib kantin sekolah setelah ada program MBG?
uid_25,Yayasan_Gizi,Pengadaan motor listrik untuk kurir distribusi MBG menuai kritik publik. @kompascom @sandiuno @BBCIndonesia #25,2024-11-05,196,861,"['kompascom', 'sandiuno', 'BBCIndonesia']",Pengadaan motor listrik untuk kurir distribusi MBG menuai kritik publik.
uid_26,IndoWitch,Kontrak vendor penyedia kaos kaki gratis dalam paket program MBG. @kompascom @kemenkesRI @sandiuno @tvOneNews #26,2024-11-18,853,0,"['kompascom', 'kemenkesRI', 'sandiuno', 'tvOneNews']",Kontrak vendor penyedia kaos kaki gratis dalam paket program MBG.
uid_27,ICW,Rencana pengadaan keyboard dan perangkat IT monitoring gizi di daerah. @sandiuno @Kemendikbud_RI @antaranews #27,2024-11-26,593,1242,"['sandiuno', 'Kemendikbud_RI', 'antaranews']",Rencana pengadaan keyboard dan perangkat IT monitoring gizi di daerah.
uid_28,KontraS,Pengadaan alat timbangan digital di sekolah sasaran makan siang gratis. @detikcom @VIVAcoid @Metro_TV @BBCIndonesia #28,2024-11-22,218,1046,"['detikcom', 'VIVAcoid', 'Metro_TV', 'BBCIndonesia']",Pengadaan alat timbangan digital di sekolah sasaran makan siang gratis.
uid_29,LBH_Jakarta,Standardisasi dapur umum MBG memerlukan alat masak ramah lingkungan. @kemenkesRI @gibran_tweet @sandiuno #29,2024-11-17,679,1296,"['kemenkesRI', 'gibran_tweet', 'sandiuno']",Standardisasi dapur umum MBG memerlukan alat masak ramah lingkungan.
uid_30,asosiasi_vendor,Anggaran Makan Bergizi Gratis (MBG) diperbesar menjadi 71T. @gibran_tweet @airlangga_hrt #30,2024-11-22,317,460,"['gibran_tweet', 'airlangga_hrt']",Anggaran Makan Bergizi Gratis (MBG) diperbesar menjadi 71T.
uid_31,pt_pangan_makmur,Tender pengadaan susu ikan untuk MBG harus diawasi ketat. @kemenkeuRI #31,2024-11-01,47,501,['kemenkeuRI'],Tender pengadaan susu ikan untuk MBG harus diawasi ketat.
uid_32,koprasi_susu,UMKM lokal dilibatkan dalam penyediaan makan siang gratis. @gibran_tweet @pengusaha_lokal #32,2024-11-14,907,1289,"['gibran_tweet', 'pengusaha_lokal']",UMKM lokal dilibatkan dalam penyediaan makan siang gratis.
uid_33,direktur_logistik,Risiko korupsi di pengadaan vendor pangan MBG sangat tinggi. @koprasi_susu #33,2024-11-16,409,499,['koprasi_susu'],Risiko korupsi di pengadaan vendor pangan MBG sangat tinggi.
uid_34,pengusaha_lokal,Evaluasi tahap pertama program MBG menunjukkan kekurangan logistik. @jokowi #34,2024-11-29,768,1762,['jokowi'],Evaluasi tahap pertama program MBG menunjukkan kekurangan logistik.
uid_35,umkm_juara,Susu ikan vs susu sapi: mana yang lebih efisien untuk dana MBG? @direktur_logistik #35,2024-11-08,180,1646,['direktur_logistik'],Susu ikan vs susu sapi: mana yang lebih efisien untuk dana MBG?
uid_36,KADIN_Indonesia,Transparansi anggaran MBG adalah harga mati bagi publik. @prabowo @airlangga_hrt #36,2024-11-30,868,248,"['prabowo', 'airlangga_hrt']",Transparansi anggaran MBG adalah harga mati bagi publik.
uid_37,HIPMI_Official,Siapa vendor susu ikan yang ditunjuk pemerintah? 🤔 @kemenkeuRI @pengusaha_lokal #37,2024-11-22,543,1144,"['kemenkeuRI', 'pengusaha_lokal']",Siapa vendor susu ikan yang ditunjuk pemerintah? 🤔
uid_38,warga_indonesia_38,Makan siang gratis mulai didistribusikan ke daerah 3T. @warga_indonesia_65 @warga_indonesia_127 #38,2024-11-15,627,1669,"['warga_indonesia_65', 'warga_indonesia_127']",Makan siang gratis mulai didistribusikan ke daerah 3T.
uid_39,warga_indonesia_85,Bagaimana nasib kantin sekolah setelah ada program MBG? @warga_indonesia_193 @warga_indonesia_73 #39,2024-11-18,456,1837,"['warga_indonesia_193', 'warga_indonesia_73']",Bagaimana nasib kantin sekolah setelah ada program MBG?
uid_40,warga_indonesia_22,Pengadaan motor listrik untuk kurir distribusi MBG menuai kritik publik. @warga_indonesia_79 #40,2024-11-28,486,921,['warga_indonesia_79'],Pengadaan motor listrik untuk kurir distribusi MBG menuai kritik publik.
uid_41,warga_indonesia_158,Kontrak vendor penyedia kaos kaki gratis dalam paket program MBG. @warga_indonesia_19 @warga_indonesia_63 #41,2024-11-27,652,567,"['warga_indonesia_19', 'warga_indonesia_63']",Kontrak vendor penyedia kaos kaki gratis dalam paket program MBG.
uid_42,warga_indonesia_35,Rencana pengadaan keyboard dan perangkat IT monitoring gizi di daerah. @warga_indonesia_120 @warga_indonesia_64 #42,2024-11-09,450,158,"['warga_indonesia_120', 'warga_indonesia_64']",Rencana pengadaan keyboard dan perangkat IT monitoring gizi di daerah.
uid_43,warga_indonesia_9,Pengadaan alat timbangan digital di sekolah sasaran makan siang gratis. @warga_indonesia_34 @warga_indonesia_42 #43,2024-11-11,327,1828,"['warga_indonesia_34', 'warga_indonesia_42']",Pengadaan alat timbangan digital di sekolah sasaran makan siang gratis.
uid_44,warga_indonesia_68,Standardisasi dapur umum MBG memerlukan alat masak ramah lingkungan. @umkm_juara #44,2024-11-05,236,784,['umkm_juara'],Standardisasi dapur umum MBG memerlukan alat masak ramah lingkungan.
uid_45,warga_indonesia_18,Anggaran Makan Bergizi Gratis (MBG) diperbesar menjadi 71T. @warga_indonesia_69 #45,2024-11-07,65,849,['warga_indonesia_69'],Anggaran Makan Bergizi Gratis (MBG) diperbesar menjadi 71T.
uid_46,warga_indonesia_44,Tender pengadaan susu ikan untuk MBG harus diawasi ketat. @warga_indonesia_37 @warga_indonesia_175 #46,2024-11-15,425,127,"['warga_indonesia_37', 'warga_indonesia_175']",Tender pengadaan susu ikan untuk MBG harus diawasi ketat.
uid_47,warga_indonesia_181,UMKM lokal dilibatkan dalam penyediaan makan siang gratis. @warga_indonesia_105 #47,2024-11-14,398,1853,['warga_indonesia_105'],UMKM lokal dilibatkan dalam penyediaan makan siang gratis.
uid_48,warga_indonesia_66,Risiko korupsi di pengadaan vendor pangan MBG sangat tinggi. @warga_indonesia_83 #48,2024-11-29,783,1179,['warga_indonesia_83'],Risiko korupsi di pengadaan vendor pangan MBG sangat tinggi.
uid_49,warga_indonesia_123,Evaluasi tahap pertama program MBG menunjukkan kekurangan logistik. @warga_indonesia_7 @prabowo #49,2024-11-12,305,1543,"['warga_indonesia_7', 'prabowo']",Evaluasi tahap pertama program MBG menunjukkan kekurangan logistik.
uid_50,warga_indonesia_164,Susu ikan vs susu sapi: mana yang lebih efisien untuk dana MBG? @warga_indonesia_111 @warga_indonesia_127 #50,2024-11-27,429,1102,"['warga_indonesia_111', 'warga_indonesia_127']",Susu ikan vs susu sapi: mana yang lebih efisien untuk dana MBG?
uid_51,warga_indonesia_93,Transparansi anggaran MBG adalah harga mati bagi publik. @warga_indonesia_174 #51,2024-11-08,279,892,['warga_indonesia_174'],Transparansi anggaran MBG adalah harga mati bagi publik.
uid_52,warga_indonesia_149,Siapa vendor susu ikan yang ditunjuk pemerintah? 🤔 @airlangga_hrt @warga_indonesia_116 #52,2024-11-11,684,1390,"['airlangga_hrt', 'warga_indonesia_116']",Siapa vendor susu ikan yang ditunjuk pemerintah? 🤔
uid_53,warga_indonesia_197,Makan siang gratis mulai didistribusikan ke daerah 3T. @warga_indonesia_129 @warga_indonesia_35 #53,2024-11-27,478,1883,"['warga_indonesia_129', 'warga_indonesia_35']",Makan siang gratis mulai didistribusikan ke daerah 3T.
uid_54,warga_indonesia_77,Bagaimana nasib kantin sekolah setelah ada program MBG? @warga_indonesia_49 #54,2024-11-18,27,1857,['warga_indonesia_49'],Bagaimana nasib kantin sekolah setelah ada program MBG?
uid_55,warga_indonesia_137,Pengadaan motor listrik untuk kurir distribusi MBG menuai kritik publik. @warga_indonesia_188 @warga_indonesia_52 #55,2024-11-22,27,171,"['warga_indonesia_188', 'warga_indonesia_52']",Pengadaan motor listrik untuk kurir distribusi MBG menuai kritik publik.
uid_56,warga_indonesia_84,Kontrak vendor penyedia kaos kaki gratis dalam paket program MBG. @pengusaha_lokal @warga_indonesia_112 #56,2024-11-15,186,102,"['pengusaha_lokal', 'warga_indonesia_112']",Kontrak vendor penyedia kaos kaki gratis dalam paket program MBG.
uid_57,warga_indonesia_78,Rencana pengadaan keyboard dan perangkat IT monitoring gizi di daerah. @warga_indonesia_91 @warga_indonesia_95 #57,2024-11-07,465,669,"['warga_indonesia_91', 'warga_indonesia_95']",Rencana pengadaan keyboard dan perangkat IT monitoring gizi di daerah.
uid_58,warga_indonesia_107,Pengadaan alat timbangan digital di sekolah sasaran makan siang gratis. @warga_indonesia_134 @warga_indonesia_10 #58,2024-11-13,284,1540,"['warga_indonesia_134', 'warga_indonesia_10']",Pengadaan alat timbangan digital di sekolah sasaran makan siang gratis.
uid_59,warga_indonesia_157,Standardisasi dapur umum MBG memerlukan alat masak ramah lingkungan. @warga_indonesia_67 @warga_indonesia_105 #59,2024-11-03,481,39,"['warga_indonesia_67', 'warga_indonesia_105']",Standardisasi dapur umum MBG memerlukan alat masak ramah lingkungan.
uid_60,warga_indonesia_34,Anggaran Makan Bergizi Gratis (MBG) diperbesar menjadi 71T. @warga_indonesia_58 #60,2024-11-08,665,140,['warga_indonesia_58'],Anggaran Makan Bergizi Gratis (MBG) diperbesar menjadi 71T.
uid_61,warga_indonesia_64,Tender pengadaan susu ikan untuk MBG harus diawasi ketat. @warga_indonesia_65 #61,2024-11-01,972,506,['warga_indonesia_65'],Tender pengadaan susu ikan untuk MBG harus diawasi ketat.
uid_62,warga_indonesia_51,UMKM lokal dilibatkan dalam penyediaan makan siang gratis. @warga_indonesia_156 #62,2024-11-01,636,312,['warga_indonesia_156'],UMKM lokal dilibatkan dalam penyediaan makan siang gratis.
uid_63,warga_indonesia_63,Risiko korupsi di pengadaan vendor pangan MBG sangat tinggi. @koprasi_susu #63,2024-11-16,685,234,['koprasi_susu'],Risiko korupsi di pengadaan vendor pangan MBG sangat tinggi.
uid_64,warga_indonesia_67,Evaluasi tahap pertama program MBG menunjukkan kekurangan logistik. @warga_indonesia_14 #64,2024-11-23,262,1570,['warga_indonesia_14'],Evaluasi tahap pertama program MBG menunjukkan kekurangan logistik.
uid_65,warga_indonesia_54,Susu ikan vs susu sapi: mana yang lebih efisien untuk dana MBG? @warga_indonesia_35 @warga_indonesia_110 #65,2024-11-20,986,1531,"['warga_indonesia_35', 'warga_indonesia_110']",Susu ikan vs susu sapi: mana yang lebih efisien untuk dana MBG?
uid_66,warga_indonesia_198,Transparansi anggaran MBG adalah harga mati bagi publik. @warga_indonesia_132 #66,2024-11-27,167,1975,['warga_indonesia_132'],Transparansi anggaran MBG adalah harga mati bagi publik.
uid_67,warga_indonesia_192,Siapa vendor susu ikan yang ditunjuk pemerintah? 🤔 @ICW @warga_indonesia_184 #67,2024-11-01,951,638,"['ICW', 'warga_indonesia_184']",Siapa vendor susu ikan yang ditunjuk pemerintah? 🤔
uid_68,warga_indonesia_36,Makan siang gratis mulai didistribusikan ke daerah 3T. @warga_indonesia_57 @warga_indonesia_100 #68,2024-11-07,77,1212,"['warga_indonesia_57', 'warga_indonesia_100']",Makan siang gratis mulai didistribusikan ke daerah 3T.
uid_69,warga_indonesia_42,Bagaimana nasib kantin sekolah setelah ada program MBG? @IndoWitch #69,2024-11-23,791,617,['IndoWitch'],Bagaimana nasib kantin sekolah setelah ada program MBG?
uid_70,warga_indonesia_39,Pengadaan motor listrik untuk kurir distribusi MBG menuai kritik publik. @warga_indonesia_12 #70,2024-11-19,801,84,['warga_indonesia_12'],Pengadaan motor listrik untuk kurir distribusi MBG menuai kritik publik.
uid_71,warga_indonesia_133,Kontrak vendor penyedia kaos kaki gratis dalam paket program MBG. @warga_indonesia_124 @warga_indonesia_102 #71,2024-11-22,379,141,"['warga_indonesia_124', 'warga_indonesia_102']",Kontrak vendor penyedia kaos kaki gratis dalam paket program MBG.
uid_72,warga_indonesia_74,Rencana pengadaan keyboard dan perangkat IT monitoring gizi di daerah. @kemensetneg @warga_indonesia_115 #72,2024-11-14,842,1003,"['kemensetneg', 'warga_indonesia_115']",Rencana pengadaan keyboard dan perangkat IT monitoring gizi di daerah.
uid_73,warga_indonesia_168,Pengadaan alat timbangan digital di sekolah sasaran makan siang gratis. @warga_indonesia_47 #73,2024-11-12,650,1825,['warga_indonesia_47'],Pengadaan alat timbangan digital di sekolah sasaran makan siang gratis.
uid_74,warga_indonesia_146,Standardisasi dapur umum MBG memerlukan alat masak ramah lingkungan. @warga_indonesia_163 @warga_indonesia_85 #74,2024-11-14,180,1502,"['warga_indonesia_163', 'warga_indonesia_85']",Standardisasi dapur umum MBG memerlukan alat masak ramah lingkungan.
